Category,Subcategory,Action,Sentence
lights,none,red,set the lights to red
lights,none,red,please set the lights to red
lights,none,red,set the lights to red
lights,none,red,lights to red
lights,none,white,can you set the lights to white please
lights,none,white,set the lights to white
lights,none,orange,please set the lights to orange
lights,none,orange,set the lights to orange
lights,none,yellow,set the lights to yellow
lights,none,green,set the lights to green
lights,none,blue,set the lights to blue
lights,none,purple,set the lights to purple
lights,none,sparkle,set the lights to sparkle
lights,none,gradient,set the lights to gradient
lights,none,red,set the lights to red
lights,none,red,please set the lights to red
lights,none,red,set the lights to red
lights,none,red,lights to red
lights,none,white,can you set the lights to white please
lights,none,white,set the lights to white
lights,none,orange,please set the lights to orange
lights,none,orange,set the lights to orange
lights,none,yellow,set the lights to yellow
lights,none,green,set the lights to green
lights,none,blue,set the lights to blue
lights,none,purple,set the lights to purple
lights,none,sparkle,can you set the lights to sparkle
lights,none,sparkle,put the the lights on sparkle
lights,none,gradient,set the lights to gradient
lights,none,on,turn on the lights
lights,none,on,lights on
lights,none,off,turn off the lights
lights,none,off,lights off
lights,none,off,shut off the lights
lights,none,on,can you you turn on the lights
lights,bedroom-light,off,can you turn off the bedroom lights
lights,bedroom-light,on,can you turn on the bedroom light
lights,bedroom-lamp,off,can you turn off the bedroom lamp
lights,bedroom-lamp,on,can you turn on the bedroom lamp
lights,bedroom-light,on,turn on the bedroom lights
lights,bedroom-lamp,on,turn on the bedroom lamp
lights,bedroom-lamp,off,turn off the bedroom lamp
lights,bedroom-lamp,off,can you please turn off the bedroom lamp
lights,bedroom-light,off,turn off the bedroom lights
music,none,pause,pause music
music,none,pause,pause
music,none,resume,play music
music,none,pause,can you please pause the music
music,none,resume,resume music
music,none,resume,play music please
music,none,next,next song
music,none,next,skip this song
music,none,next,next track
music,none,previous,go back a song
music,none,previous,previous song
music,none,previous,can you go back to the last song
other,none,none,hello.
other,none,none,can you recall the last time
other,none,none,can you recall anything
other,none,none,"is it okay if I ask you some math questions"""
other,none,none,how are you?
other,none,none,can you recall the last time
other,none,none,can you recall anything
other,none,none,"is it okay if I ask you some math questions"""
other,none,none,what is your name?
other,none,none,can you recall the last time
other,none,none,can you recall anything
other,none,none,"is it okay if I ask you some math questions"""
other,none,none,what is your name?
other,none,none,can you recall the last time
other,none,none,can you recall anything
other,none,none,"is it okay if I ask you some math questions"""
other,none,none,what is your purpose?
other,none,none,can you recall the last time
other,none,none,can you recall anything
other,none,none,"is it okay if I ask you some math questions"""
other,none,none,what's the meaning of life?
other,none,none,can you recall the last time
other,none,none,can you recall anything
other,none,none,"is it okay if I ask you some math questions"""
other,none,none,can you take the square root of a negative number?
other,none,none,can you recall the last time
other,none,none,can you recall anything
other,none,none,"is it okay if I ask you some math questions"""
other,none,none,can you write me a poem?
other,none,none,can you recall the last time
other,none,none,can you recall anything
other,none,none,"is it okay if I ask you some math questions"""
other,none,none,What is an atom made up of?
other,none,none,can you recall the last time
other,none,none,can you recall anything
other,none,none,"is it okay if I ask you some math questions"""
other,none,none,How can I start my day better?
other,none,none,can you recall the last time
other,none,none,can you recall anything
other,none,none,"is it okay if I ask you some math questions"""
other,none,none,Who are you?
other,none,none,can you recall the last time
other,none,none,can you recall anything
other,none,none,"is it okay if I ask you some math questions"""
other,none,none,how many parameters do you have?
other,none,none,can you recall the last time
other,none,none,can you recall anything
other,none,none,"is it okay if I ask you some math questions"""
other,none,none,how do you compare with GPT-2?
other,none,none,can you recall the last time
other,none,none,can you recall anything
other,none,none,"is it okay if I ask you some math questions"""
other,none,none,how many parameters does GPT-2 have?
other,none,none,can you recall the last time
other,none,none,can you recall anything
other,none,none,"is it okay if I ask you some math questions"""
other,none,none,what is the human population count
other,none,none,can you recall the last time
other,none,none,can you recall anything
other,none,none,"is it okay if I ask you some math questions"""
other,none,none,say hello.
other,none,none,can you recall the last time
other,none,none,can you recall anything
other,none,none,"is it okay if I ask you some math questions"""
other,none,none,remember that my favorite color is blue.
other,none,none,don't forget that my favorite color is blue.
other,none,none,what is my favorite color.
other,none,none,remember my birthday is on november fifth nineteen ninety seven.
other,none,none,don't forget my birthday is on november fifth nineteen ninety seven.
other,none,none,what is my birthday.
other,none,none,when was my birthday.
other,none,none,what is my favorite color.
other,none,none,remember my mom's birthday is on october sixth nineteen fifty nine.
other,none,none,don't forget that my mom's birthday is on october sixth nineteen fifty nine.
other,none,none,when was my mom's birthday.
other,none,none,when is my birthday.
other,none,none,don't forget that the mars volta is my favorite band.
other,none,none,what is my favorite color.
other,none,none,what is my favorite band.
other,none,none,don't forget that my friend john's birthday is on july eighteenth ninety ninety eight.
other,none,none,when is my friend john's birthday.
other,none,none,when was my mom's birthday.
other,none,none,what is my favorite color.
other,none,none,don't forget that my mom's birthday is on october six nineteen fifty nine.
other,none,none,don't forget my favorite color is blue.
other,none,none,don't forget my name is omar.
other,none,none,remember that my favorite band is the mars volta.
other,none,none,what is my brother's name.
other,none,none,don't forget that my brother's birthday is november fourth nineteen ninety six.
other,none,none,what is your favorite movie.
other,none,none,who are your parents.
other,none,none,who are my parents.
other,none,none,what are your favorite songs.
other,none,none,who is my favorite band.
other,none,none,when is my birthday.
other,none,none,when is your birthday.
other,none,none,what is your favorite ice cream.
other,none,none,what is my favorite movie.
